[24-11-05 14:32:47] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:32:47] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:36:11] 209    -5794.92 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:13] 210    -5794.92 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:14] 212    -5794.92 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:15] 213    -5792.92 [    14990.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:16] 214    -5789.68 [    14991.7   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:18] 215    -5446.27 [    15168.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:19] 216    -2892.49 [    18324.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:20] 217   -17912.05 [    23430.8   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:21] 218    -5398.92 [    20274.7   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:23] 219    -3001.69 [    17118.6   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:24] 220    -2795.69 [    17825.3   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:25] 221    -2795.69 [    17853.7   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:27] 222    -2796.35 [    17882.3   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:28] 223    -2795.69 [    17853.7   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:29] 224    -2795.69 [    17853.7   29195.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:31] 225    -2795.68 [    17853.7   29197.4  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:32] 226    -2795.56 [    17853.7   29373.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:33] 227    -2789.01 [    17853.7   43727.1  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:35] 228    -2784.38 [    17853.7   66951.3  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:36] 229    -2784.01 [    17853.7   69868.3  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:37] 230    -2783.49 [    17853.7   74588.1  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:39] 231    -2781.21 [    17853.7  105544.4  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:40] 232    -2779.44 [    17853.7  155632.9  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:41] 233    -2779.17 [    17853.7  167722.5  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
