[24-10-31 14:55:11] fitting objective_H2 to data for demes ['French', 'KhomaniSan', 'Yoruba']
[24-10-31 14:55:11] 0        pnames [         NK       NFY       TFY        NF        NY ]
[24-10-31 14:56:00] 234   -19576.65 [    26657.3   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:00] 236   -19576.65 [    26657.3   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:01] 237   -19576.65 [    26657.3   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:01] 239   -19576.65 [    26657.3   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:01] 240   -19576.65 [    26657.3   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:01] 241   -19576.65 [    26657.3   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:02] 243   -19576.65 [    26657.3   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:02] 245   -19576.65 [    26657.3   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:02] 246   -19576.64 [    26658.3   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:02] 247   -19576.64 [    26659.9   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:03] 248    -19576.5 [    26836.3   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:03] 249   -19576.46 [    26989.1   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:03] 250   -19576.55 [    27236.3   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:03] 251   -19576.47 [    27083.5   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:03] 252   -19576.47 [    26930.7   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:04] 253   -19576.46 [    26996.6   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:04] 254   -19576.46 [    26993.2   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:04] 255   -19576.46 [    27000.0   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:04] 256   -19576.46 [    26996.6   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:05] 257   -19576.44 [    26996.6   16573.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:05] 258   -19576.41 [    26996.6   16574.6   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:05] 259   -19574.43 [    26996.6   16751.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:05] 260   -19574.23 [    26996.6   16822.9   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:06] 261   -19574.63 [    26996.6   16939.3   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:06] 262   -19574.28 [    26996.6   16867.3   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:06] 263   -19574.27 [    26996.6   16795.4   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:06] 264   -19574.23 [    26996.6   16828.3   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:07] 265   -19574.23 [    26996.6   16825.7   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:07] 266   -19574.23 [    26996.6   16830.9   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:07] 267   -19574.23 [    26996.6   16828.3   46153.5    3166.5   50000.0 ]
[24-10-31 14:56:07] 268   -19574.24 [    26996.6   16828.3   46154.5    3166.5   50000.0 ]
[24-10-31 14:56:08] 269   -19574.22 [    26996.6   16828.3   46151.9    3166.5   50000.0 ]
[24-10-31 14:56:08] 270   -19573.15 [    26996.6   16828.3   45975.5    3166.5   50000.0 ]
[24-10-31 14:56:08] 271   -19568.64 [    26996.6   16828.3   44395.8    3166.5   50000.0 ]
[24-10-31 14:56:08] 272   -19581.18 [    26996.6   16828.3   41839.7    3166.5   50000.0 ]
[24-10-31 14:56:08] 273    -19570.5 [    26996.6   16828.3   43419.5    3166.5   50000.0 ]
[24-10-31 14:56:09] 274   -19569.28 [    26996.6   16828.3   44999.2    3166.5   50000.0 ]
[24-10-31 14:56:09] 275   -19568.64 [    26996.6   16828.3   44417.4    3166.5   50000.0 ]
[24-10-31 14:56:09] 276   -19568.64 [    26996.6   16828.3   44434.8    3166.5   50000.0 ]
[24-10-31 14:56:09] 277   -19568.64 [    26996.6   16828.3   44417.4    3166.5   50000.0 ]
[24-10-31 14:56:10] 278   -19568.74 [    26996.6   16828.3   44417.4    3167.5   50000.0 ]
[24-10-31 14:56:10] 279   -19568.49 [    26996.6   16828.3   44417.4    3164.9   50000.0 ]
[24-10-31 14:56:10] 280    -19562.6 [    26996.6   16828.3   44417.4    3032.6   50000.0 ]
[24-10-31 14:56:10] 281   -19588.15 [    26996.6   16828.3   44417.4    2818.4   50000.0 ]
[24-10-31 14:56:11] 282   -19566.65 [    26996.6   16828.3   44417.4    2950.8   50000.0 ]
[24-10-31 14:56:11] 283   -19563.16 [    26996.6   16828.3   44417.4    3083.1   50000.0 ]
[24-10-31 14:56:11] 284   -19562.53 [    26996.6   16828.3   44417.4    3045.8   50000.0 ]
[24-10-31 14:56:11] 285   -19562.53 [    26996.6   16828.3   44417.4    3044.6   50000.0 ]
