[24-11-05 11:39:06] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 11:39:06] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 11:42:15] 184  -288627.75 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  5.06e-04 ]
[24-11-05 11:42:16] 185  -274009.98 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  2.57e-04 ]
[24-11-05 11:42:17] 186  -225819.45 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  1.04e-04 ]
[24-11-05 11:42:19] 187  -130838.86 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  4.53e-05 ]
[24-11-05 11:42:20] 189   -46605.81 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  2.29e-05 ]
[24-11-05 11:42:21] 190   -49082.06 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  3.06e-07 ]
[24-11-05 11:42:22] 191    -7522.05 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  1.18e-05 ]
[24-11-05 11:42:23] 192    -5671.92 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  7.00e-06 ]
[24-11-05 11:42:25] 193    -4368.38 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.85e-06 ]
[24-11-05 11:42:26] 194    -4362.26 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.75e-06 ]
[24-11-05 11:42:27] 195    -4362.12 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:28] 196    -4362.12 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:30] 197    -4362.13 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:31] 198    -4273.96 [   676196.8    7939.3  628114.3    1417.6    2565.5   20871.8   23200.0   8.4e-06 ]
[24-11-05 11:42:32] 199    -4362.12 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:33] 200    -4362.09 [   669077.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:35] 201    -4362.03 [   669078.9    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:36] 202    -4356.01 [   669255.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:37] 203    -4271.27 [   674280.0    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:38] 204    -4483.94 [   682410.0    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:39] 205    -4301.92 [   677385.4    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:41] 206    -4283.94 [   672360.7    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:42] 207    -4271.27 [   674332.0    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:43] 208    -4271.28 [   674384.6    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:44] 209    -4271.27 [   674332.0    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:46] 210    -4271.12 [   674332.0    7163.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:47] 211    -4270.89 [   674332.0    7164.8  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:48] 212     -4248.9 [   674332.0    7341.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:49] 213    -4218.97 [   674332.0    7819.2  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:51] 214    -4237.21 [   674332.0    8592.7  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:52] 215    -4217.89 [   674332.0    8114.6  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:53] 216    -4222.53 [   674332.0    8297.2  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:54] 217    -4216.96 [   674332.0    7997.1  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:56] 218    -4216.96 [   674332.0    7988.8  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:57] 219    -4216.97 [   674332.0    7980.5  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:58] 220    -4216.96 [   674332.0    7988.8  627448.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:42:59] 221    -4216.96 [   674332.0    7988.8  627449.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:43:01] 222    -4216.96 [   674332.0    7988.8  627450.7    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:43:02] 223    -4216.87 [   674332.0    7988.8  627627.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:43:03] 224    -4216.85 [   674332.0    7988.8  627754.3    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
[24-11-05 11:43:04] 225     -4216.9 [   674332.0    7988.8  627960.1    1678.6    2681.9   20871.8   23751.4  8.73e-06 ]
